0.008;-0.1
0.017;-0.2
0.025;-0.1
0.034;0.3
0.042;0.7
0.051;-0.3
0.059;-0.2
0.068;-0.1
0.076;-0.3
0.085;-0.1
0.093;-0.1
0.102;0
0.110;0.6
0.119;1.4
0.127;-2.2
0.136;3.4
0.144;1.6
0.153;0.8
0.161;-0.1
0.169;-0.9
0.178;2.1
0.186;2.2
0.195;0.9
0.203;-0.1
0.212;0.9
0.220;0.6
0.229;-0.8
0.237;0.7
0.246;1
0.254;0.7
0.263;-0.4
0.271;0
0.280;0.4
0.288;0.2
0.297;-0.1
0.305;-0.3
0.314;0.2
0.322;0
0.331;0
0.339;-0.1
0.347;0.1
0.356;0
0.364;0
0.373;0
0.381;0.3
0.390;0.1
0.398;0.1
0.407;-0.1
0.415;0.8
0.424;0.2
0.432;-0.4
0.441;0.6
0.449;0.4
0.458;-0.1
0.466;0
0.475;-0.1
0.483;-0.1
0.492;0.1
0.500;-0.1
0.508;0
0.517;0
